date,time,seat,status,ticket_purchase,compliance,alert,ticket_number,sms_to_worker
12/11/2025,1:17:05,A1,Empty,no,no,0,#A00001,no
12/11/2025,1:17:05,A2,Empty,no,no,0,#A00002,no
12/11/2025,1:17:05,A3,Empty,no,no,0,#A00003,no
12/11/2025,1:17:05,A4,Empty,no,no,0,#A00004,no
12/11/2025,1:17:05,A5,Empty,no,no,0,#A00005,no
12/11/2025,1:17:05,A6,Empty,no,no,0,#A00006,no
12/11/2025,1:17:05,A7,Empty,no,no,0,#A00007,no
12/11/2025,1:17:05,A8,Empty,no,no,0,#A00008,no
12/11/2025,1:17:05,B1,Empty,no,no,0,#B00001,no
12/11/2025,1:17:05,B2,Empty,no,no,0,#B00002,no
12/11/2025,1:17:05,B3,Empty,no,no,0,#B00003,no
12/11/2025,1:17:05,B4,Empty,no,no,0,#B00004,no
12/11/2025,1:17:05,B5,Empty,no,no,0,#B00005,no
12/11/2025,1:17:05,B6,Empty,no,no,0,#B00006,no
12/11/2025,1:17:05,B7,Empty,no,no,0,#B00007,no
12/11/2025,1:17:05,B8,Empty,no,no,0,#B00008,no
12/11/2025,1:17:05,C1,Empty,yes,yes,0,#C00001,no
12/11/2025,1:17:05,C2,Empty,yes,yes,0,#C00002,no
12/11/2025,1:17:05,C3,Empty,yes,yes,0,#C00003,no
12/11/2025,1:17:05,C4,Empty,yes,yes,0,#C00004,no
12/11/2025,1:17:05,C5,Empty,yes,yes,0,#C00005,no
12/11/2025,1:17:05,C6,Empty,yes,yes,0,#C00006,no
12/11/2025,1:17:05,C7,Empty,yes,yes,0,#C00007,no
12/11/2025,1:17:05,C8,Empty,yes,yes,0,#C00008,no
12/11/2025,1:17:05,D1,Empty,no,no,0,#D00001,no
12/11/2025,1:17:05,D2,Empty,no,no,0,#D00002,no
12/11/2025,1:17:05,D3,Empty,no,no,0,#D00003,no
12/11/2025,1:17:05,D4,Empty,no,no,0,#D00004,no
12/11/2025,1:17:05,D5,Occupied,no,no,0,#D00005,no
12/11/2025,1:17:05,D6,Occupied,no,no,0,#D00006,no
12/11/2025,1:17:05,D7,Empty,no,no,0,#D00007,no
12/11/2025,1:17:05,D8,Empty,no,no,0,#D00008,no
12/11/2025,1:17:05,E1,Empty,no,no,0,#E00001,no
12/11/2025,1:17:05,E2,Occupied,no,no,0,#E00002,no
12/11/2025,1:17:05,E3,Occupied,no,no,0,#E00003,no
12/11/2025,1:17:05,E4,Empty,no,no,0,#E00004,no
12/11/2025,1:17:05,E5,Empty,no,no,0,#E00005,no
12/11/2025,1:17:05,E6,Empty,no,no,0,#E00006,no
12/11/2025,1:17:05,E7,Empty,no,no,0,#E00007,no
12/11/2025,1:17:05,E8,Empty,no,no,0,#E00008,no
12/11/2025,1:17:05,E9,Empty,no,no,0,#E00009,no
12/11/2025,1:17:06,A1,Empty,no,no,0,#A00001,no
12/11/2025,1:17:06,A2,Empty,no,no,0,#A00002,no
12/11/2025,1:17:06,A3,Empty,no,no,0,#A00003,no
12/11/2025,1:17:06,A4,Empty,no,no,0,#A00004,no
12/11/2025,1:17:06,A5,Empty,no,no,0,#A00005,no
12/11/2025,1:17:06,A6,Empty,no,no,0,#A00006,no
12/11/2025,1:17:06,A7,Empty,no,no,0,#A00007,no
12/11/2025,1:17:06,A8,Empty,no,no,0,#A00008,no
12/11/2025,1:17:06,B1,Empty,no,no,0,#B00001,no
12/11/2025,1:17:06,B2,Empty,no,no,0,#B00002,no
12/11/2025,1:17:06,B3,Empty,no,no,0,#B00003,no
12/11/2025,1:17:06,B4,Empty,no,no,0,#B00004,no
12/11/2025,1:17:06,B5,Empty,no,no,0,#B00005,no
12/11/2025,1:17:06,B6,Empty,no,no,0,#B00006,no
12/11/2025,1:17:06,B7,Empty,no,no,0,#B00007,no
12/11/2025,1:17:06,B8,Empty,no,no,0,#B00008,no
12/11/2025,1:17:06,C1,Empty,yes,yes,0,#C00001,no
12/11/2025,1:17:06,C2,Empty,yes,yes,0,#C00002,no
12/11/2025,1:17:06,C3,Empty,yes,yes,0,#C00003,no
12/11/2025,1:17:06,C4,Empty,yes,yes,0,#C00004,no
12/11/2025,1:17:06,C5,Empty,yes,yes,0,#C00005,no
12/11/2025,1:17:06,C6,Empty,yes,yes,0,#C00006,no
12/11/2025,1:17:06,C7,Empty,yes,yes,0,#C00007,no
12/11/2025,1:17:06,C8,Empty,yes,yes,0,#C00008,no
12/11/2025,1:17:06,D1,Empty,no,no,0,#D00001,no
12/11/2025,1:17:06,D2,Empty,no,no,0,#D00002,no
12/11/2025,1:17:06,D3,Empty,no,no,0,#D00003,no
12/11/2025,1:17:06,D4,Empty,no,no,0,#D00004,no
12/11/2025,1:17:06,D5,Occupied,no,no,0,#D00005,no
12/11/2025,1:17:06,D6,Occupied,no,no,0,#D00006,no
12/11/2025,1:17:06,D7,Empty,no,no,0,#D00007,no
12/11/2025,1:17:06,D8,Empty,no,no,0,#D00008,no
12/11/2025,1:17:06,E1,Empty,no,no,0,#E00001,no
12/11/2025,1:17:06,E2,Occupied,no,no,0,#E00002,no
12/11/2025,1:17:06,E3,Occupied,no,no,0,#E00003,no
12/11/2025,1:17:06,E4,Empty,no,no,0,#E00004,no
12/11/2025,1:17:06,E5,Empty,no,no,0,#E00005,no
12/11/2025,1:17:06,E6,Empty,no,no,0,#E00006,no
12/11/2025,1:17:06,E7,Empty,no,no,0,#E00007,no
12/11/2025,1:17:06,E8,Empty,no,no,0,#E00008,no
12/11/2025,1:17:06,E9,Empty,no,no,0,#E00009,no
12/11/2025,1:17:07,A1,Empty,no,no,0,#A00001,no
12/11/2025,1:17:07,A2,Empty,no,no,0,#A00002,no
12/11/2025,1:17:07,A3,Empty,no,no,0,#A00003,no
12/11/2025,1:17:07,A4,Empty,no,no,0,#A00004,no
12/11/2025,1:17:07,A5,Empty,no,no,0,#A00005,no
12/11/2025,1:17:07,A6,Empty,no,no,0,#A00006,no
12/11/2025,1:17:07,A7,Empty,no,no,0,#A00007,no
12/11/2025,1:17:07,A8,Empty,no,no,0,#A00008,no
12/11/2025,1:17:07,B1,Empty,no,no,0,#B00001,no
12/11/2025,1:17:07,B2,Empty,no,no,0,#B00002,no
12/11/2025,1:17:07,B3,Empty,no,no,0,#B00003,no
12/11/2025,1:17:07,B4,Empty,no,no,0,#B00004,no
12/11/2025,1:17:07,B5,Empty,no,no,0,#B00005,no
12/11/2025,1:17:07,B6,Empty,no,no,0,#B00006,no
12/11/2025,1:17:07,B7,Empty,no,no,0,#B00007,no
12/11/2025,1:17:07,B8,Empty,no,no,0,#B00008,no
12/11/2025,1:17:07,C1,Empty,yes,yes,0,#C00001,no
12/11/2025,1:17:07,C2,Empty,yes,yes,0,#C00002,no
12/11/2025,1:17:07,C3,Empty,yes,yes,0,#C00003,no
12/11/2025,1:17:07,C4,Empty,yes,yes,0,#C00004,no
12/11/2025,1:17:07,C5,Empty,yes,yes,0,#C00005,no
